编号,标题,链接
1,[翻译] 《幽灵诡计》GHOST STAFF 座谈会,https://zhuanlan.zhihu.com/p/625692987
2,[翻译]“Hello! Indie”第37回 制作游戏先从制作米开始！？《天穗之咲稻姬》开发者访谈,https://zhuanlan.zhihu.com/p/336236689
3,[翻译] 社长问：超级马力欧25周年 系列 Vol.2 FC与马力欧,https://zhuanlan.zhihu.com/p/213160167
4,[翻译] 社长问：超级马力欧25周年 系列 Vol.1 糸井重里代社长问,https://zhuanlan.zhihu.com/p/206824392
5,[翻译] Fami通《异度神剑》特集 追寻Monolith Soft的起源,https://zhuanlan.zhihu.com/p/143642500
6,[翻译] Fami通《异度神剑》特集《异度神剑》的所思所想,https://zhuanlan.zhihu.com/p/142904653
7,[翻译] Fami通《异度神剑》特集 10年前访谈再刊登 ——《异度神剑》剑指之物,https://zhuanlan.zhihu.com/p/142635697
8,《动物森友会》是如何诞生的——社长问：游戏研讨会2008 动物森友会,https://zhuanlan.zhihu.com/p/128560421
9,[旧文翻译] Fami通《幻影异闻录♯FE》开发者访谈（15.7.14）,https://zhuanlan.zhihu.com/p/101167896
10,[翻译]《任天堂明星大乱斗 特别版》的图像制作（CEDEC 2019）,https://zhuanlan.zhihu.com/p/82344095
11,[翻译]《社长问 特别篇：岩田聪×宫本茂×糸井重里》Part.4-7,https://zhuanlan.zhihu.com/p/75376629
12,[翻译]《社长问 特别篇：岩田聪×宫本茂×糸井重里》Part.1-3,https://zhuanlan.zhihu.com/p/71373376
13,《异度传说》的曲折成就《异度神剑》——原田胜弘对话高桥哲哉 Part.6,https://zhuanlan.zhihu.com/p/70778230
14,《异度传说》的曲折成就《异度神剑》——原田胜弘对话高桥哲哉 Part.3-4,https://zhuanlan.zhihu.com/p/68498257
15,《异度传说》的曲折成就《异度神剑》——原田胜弘对话高桥哲哉 Part.1-2,https://zhuanlan.zhihu.com/p/68415385
16,任天堂Staff 英文/汉字对照表,https://zhuanlan.zhihu.com/p/67654295
17,[翻译] 社长问：节奏天国 黄金版 淳君篇 Part.1 明知山有虎，偏向虎山行,https://zhuanlan.zhihu.com/p/66699285
18,[翻译]《异度装甲》20周年音乐会 光田康典特别访谈,https://zhuanlan.zhihu.com/p/61868592
19,[翻译]Project Sora 特别对话 岩田聪×樱井政博 全文,https://zhuanlan.zhihu.com/p/58700481
20,[翻译]Project Sora 特别对话 岩田聪×樱井政博 Part.2-3,https://zhuanlan.zhihu.com/p/58610048
21,[翻译]Project Sora 特别对话 岩田聪×樱井政博 Part.1,https://zhuanlan.zhihu.com/p/58498386
22,[转载]《社长问：王国之心3D 梦降深处》全文翻译,https://zhuanlan.zhihu.com/p/56315687
23,[翻译]《怪物猎人：世界》场景和怪物制作解读——4Gamer报告（CEDEC 2018）,https://zhuanlan.zhihu.com/p/56294550
24,[翻译]《社长问：新 超级马力欧兄弟 U》全文,https://zhuanlan.zhihu.com/p/55559749
25,[翻译]《社长问：新·光神话 帕露蒂娜之镜》全文,https://zhuanlan.zhihu.com/p/54748127
26,[翻译]《社长问：新·光神话 帕露蒂娜之镜》Part.6 美杜莎战之后,https://zhuanlan.zhihu.com/p/54665159
27,[翻译]《社长问：新·光神话 帕露蒂娜之镜》Part.5“奇迹”和“神器”,https://zhuanlan.zhihu.com/p/54567686
28,[翻译]《社长问：新·光神话 帕露蒂娜之镜》Part.4 “想让玩家选择”,https://zhuanlan.zhihu.com/p/54377668
29,[翻译]《社长问：新·光神话 帕露蒂娜之镜》Part.3 为玩家打造富有玩家乐趣的游戏,https://zhuanlan.zhihu.com/p/54250675
30,[翻译]《社长问：新·光神话 帕露蒂娜之镜》Part.2 分解与重构,https://zhuanlan.zhihu.com/p/54152306
31,[翻译]《社长问：新 超级马力欧兄弟 U》Part.5~6,https://zhuanlan.zhihu.com/p/53974936
32,Game of the Year——2018,https://zhuanlan.zhihu.com/p/53634545
33,[翻译]《社长问：新·光神话 帕露蒂娜之镜》Part.1 我的“作风”,https://zhuanlan.zhihu.com/p/53558854
34,[翻译]老友畅谈——岩田聪＆糸井重里,https://zhuanlan.zhihu.com/p/53473867
35,关于对译文引用的一些牢骚,https://zhuanlan.zhihu.com/p/53263675
36,[翻译]《任天堂明星大乱斗SP》Fami通专访樱井政博,https://zhuanlan.zhihu.com/p/52445884
37,[翻译]樱井政博游戏制作杂感 节选 01：10万倍的乐趣,https://zhuanlan.zhihu.com/p/52283010
38,[翻译]《社长问：坂口博信×高桥哲哉》全文,https://zhuanlan.zhihu.com/p/51304623
39,[翻译]《社长问：坂口博信×高桥哲哉》Part.5 标记上气息风格,https://zhuanlan.zhihu.com/p/51291344
40,[翻译]《社长问：坂口博信×高桥哲哉》Part.4 关键词是“浪漫主义”,https://zhuanlan.zhihu.com/p/51191722
41,[翻译]《社长问：坂口博信×高桥哲哉》Part.3 和staff们的“共鸣”,https://zhuanlan.zhihu.com/p/51092095
42,[翻译]《社长问：坂口博信×高桥哲哉》Part.2 高桥，开辟前路,https://zhuanlan.zhihu.com/p/50999432
43,[翻译]《社长问：坂口博信×高桥哲哉》Part.1 阔别8年的再会,https://zhuanlan.zhihu.com/p/50911195
44,[翻译]《大逆转裁判》发售纪念特集 vol.1 音乐篇,https://zhuanlan.zhihu.com/p/50743890
45,[翻译]《社长问：任天堂明星大乱斗 X》Vol.7 一期一会的游戏,https://zhuanlan.zhihu.com/p/50441947
46,[翻译]《社长问：任天堂明星大乱斗 X》Vol.6 全明星音乐,https://zhuanlan.zhihu.com/p/50441782
47,[翻译]《社长问：任天堂明星大乱斗 X》Vol.5 形形色色的新要素,https://zhuanlan.zhihu.com/p/50307519
48,[翻译]《社长问：任天堂明星大乱斗 X》Vol.4 “亚空的使者”,https://zhuanlan.zhihu.com/p/49983999
49,[翻译]《社长问：任天堂明星大乱斗 X》Vol.3 对战、共斗、分享,https://zhuanlan.zhihu.com/p/49831437
50,[翻译]《社长问：任天堂明星大乱斗 X》Vol.2 为了首次接触游戏的人,https://zhuanlan.zhihu.com/p/49583012
51,[翻译]《社长问：任天堂明星大乱斗 X》Vol.1 下,https://zhuanlan.zhihu.com/p/49283996
52,[翻译]《社长问：任天堂明星大乱斗 X》Vol.1 上,https://zhuanlan.zhihu.com/p/49166376
53,[翻译]社长问——新 超级马力欧兄弟 U part 4,https://zhuanlan.zhihu.com/p/47619903
54,[翻译]社长问——新 超级马力欧兄弟 U part 3,https://zhuanlan.zhihu.com/p/47019162
55,[翻译]社长问——新 超级马力欧兄弟 U part 2,https://zhuanlan.zhihu.com/p/46847079
56,[翻译]社长问——新 超级马力欧兄弟 U part 1,https://zhuanlan.zhihu.com/p/46649139
57,[翻译]《八方旅人》Fami通访谈——传统而进化的HD-2D像素风格,https://zhuanlan.zhihu.com/p/46441951
58,[翻译]《八方旅人》Fami通访谈——推倒重做的勇气，地图技能与故事的结合,https://zhuanlan.zhihu.com/p/46534764
59,[翻译]《八方旅人》Fami通访谈——让JRPG黄金时代的音乐焕然一新,https://zhuanlan.zhihu.com/p/45631456
